GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,Primary_WS,2003_TOTAL_MGD,2013_TOTAL_MGD,03_13_PCTCHG_TOT_MGD,2003_RES_MGD,2013_RES_MGD,03_13_PCTCHG_RES_MGD,2003_NONRES_MGD,2013_NONRES_MGD,03_13_PCTCHG_NONRES_MGD,2003_GPCD,2013_GPCD,03_13_PCTCHG_GPCD,2014_MO_WAT_INFLADJ2021,2014_MO_SEW_INFLADJ2021,2014_MO_COMBO_INFLADJ2021,2020_MO_WAT_INFLADJ2021,2020_MO_SEW_INFLADJ2021,2020_MO_COMBO_INFLADJ2021,2014_2020WAT_PCTCHG_ADJ,2014_2020SEW_PCTCHG_ADJ,2014_2020COMBO_PCTCHG_ADJ,2014_2020WAT_ANN_PCTCHG_ADJ,2014_2020SEW_ANN_PCTCHG_ADJ,2014_2020COMBO_ANN_PCTCHG_ADJ,UTILITY_NAME,2017_NONREV_WATER,2017_ANNCOST,2017_PCT_NONREV_TO_WS,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,2003_GPCD,disbursement_per_capita,above_80pct_regional_median,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
1700243,Addison,35914,36942,35702,12296,2.89695836,36714,2141,7407,7398,7351,6695,3407,1672,643,37.8,16111,15050,1586,3524,443,36561,29448,20218,19334,830,9230,19025,1168,17857,15185,1653,482,218,319,459085,634,4091,4832,3242,24944,4943,7874,3789,2201,4197,1940,2296,2590,2144,1617,2406,1746,68534,30202,12799,8289,4510,388,13187,7536,801,211,771,1649,1136,1031,52,5.7,985,6128,5751,323,1972,1935,3127,5478,2121,526,1059,4498,2383,321,259000,4277,254,1259,2181,554,29,1089,11460,1225,1339,11267,10802,1532,15866,Manufacturing,Retail Trade,Health Care,Administration,Wholesale Trade,2247,1707,1628,1362,1297,23468,Manufacturing,Wholesale Trade,Transportation,Administration,Construction,5750,3809,3024,2097,1705,Chicago,Addison,Elk Grove Village,Schaumburg,Elmhurst,2212,1488,586,550,495,Chicago,Addison,Glendale Heights,Carol Stream,Lombard,2508,1488,554,554,518,29685,25375,23773,20414.37688,1067976954,894396152,780233080,138879077,388769970,303443,123138,0,1308308708,0.512751255,0.487248745,0,0.460617761,0.539382239,0,8.11167956,6393.516685,1725.733589,0.269919306,236.9315922,0.037058102,0,0,333.9369498,0.052230559,267.0724853,0.041772392,1270.580706,0.198729552,1576.262132,0.246540708,0.350145645,5.48E-05,836.5759907,0.130847549,146.0730945,0.022847066,2973,3705,2237,3884,9165,1306,3634,1152,9,36,1107,3314,282,429,2603,2144,733,705,706,5746,3922,1577,247,24412,12302,34573,19106,7940,15467,11360,2657,84,290,140,263,869,3375,68,21540,10198,874,2836,466,10500,8913,7927,5542,3032,32.2,11649,7967,3682,156,11805,5921,6556,4323,1194,3191,1159,22344,50,59,29,36,21,22,Lake Michigan,3.73,3.22,-13.9,2.45,2.13,-13.2,1.28,1.09,-15.1,67.1,57,-15,38.00099689,32.33518561,N/A,50.7785411,29.69235929,N/A,33.62423424,-8.173221427,N/A,4.949620274,-1.411053739,N/A,Addison,0.308,785513,10.3,0,0,0.334268762,0.82316732,0.828364608,0.15810162,0.285498585,67.1,505.58,1,0,0,0.185072273
1700685,Algonquin,23276,30046,29700,10769,2.757451945,30848,1285,6504,4967,6202,7863,2410,830,787,42.5,24161,2932,685,2161,909,30848,25114,18784,17678,1106,6330,17488,1936,15552,14129,949,258,138,78,524180,732,1951,5337,3156,21445,1205,3997,4875,1938,6150,3280,881,1256,1491,1332,2847,3369,109819,46601,11176,9503,1673,428,11604,8427,2075,69,277,221,104,431,0,7.2,3257,7208,763,376,1994,769,1852,3850,4252,881,553,5485,3357,108,268100,1594,0,315,282,814,183,1659,10688,353,488,10610,10385,566,14426,Retail Trade,Health Care,Manufacturing,Education,Professional,1607,1582,1567,1277,1120,7203,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,Professional,2493,1534,668,410,338,Chicago,Elgin,Schaumburg,Crystal Lake,Algonquin,1542,1096,876,590,573,Algonquin,Crystal Lake,Lake in the Hills,Carpentersville,Chicago,573,493,434,374,373,3909,6430,5910,25688.31878,705080767,527235860,834666665,171152131,10274330,360771,248546,1719610,1018422053,0.884641855,0.115358145,0,0.619566695,0.380433305,0,9.07267117,7954.147732,3172.238392,0.398815624,25.71950277,0.003233471,3.967905253,0.000498847,522.7457914,0.0657199,422.9952047,0.053179199,642.1779617,0.08073498,1424.735921,0.179118614,396.3084398,0.049824124,867.9086249,0.109113968,475.3499884,0.059761272,1981,4020,2101,3074,8618,570,2558,538,0,24,514,1516,79,257,1180,1439,339,427,673,7539,4791,2138,610,27048,3800,29563,5343,1473,24220,1859,1151,92,140,88,67,671,1248,27,21327,948,194,542,265,8083,4236,6933,2794,1230,33.6,7706,7217,489,246,7952,715,3191,3737,1177,3966,1603,14389,62,73,38,48,24,26,Shallow Groundwater,2.57,2.55,-0.9,2.17,2.15,-0.8,0.4,0.4,-1,82.7,70.7,-14.5,22.8921668,21.80478888,N/A,35.64967679,44.70605577,N/A,55.72871323,105.028611,N/A,7.661753559,12.71172026,N/A,N/A,N/A,N/A,N/A,0,0,0.530100256,0.87295082,0.727027609,0.359585428,0.255084533,82.7,417.89,1,0,0,0.187614364
1701010,Alsip,19725,19277,19063,7692,2.468408736,18843,979,3736,3536,3786,3156,2379,841,430,39,9499,4264,4354,382,344,18815,14979,9853,9260,593,5126,9124,114,9010,7407,835,539,162,67,292610,458,3741,2313,1284,12845,1246,4062,3950,829,1817,941,1279,2093,1416,1081,1224,703,58768,30308,7796,4888,2908,399,8195,4463,417,109,578,970,1139,510,9,5.4,456,4239,3328,172,1973,975,2805,3578,697,140,1455,3281,125,27,168500,2707,28,1405,1081,193,0,977,6956,594,840,6611,6308,1185,8822,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,1317,959,779,778,775,14978,Manufacturing,Wholesale Trade,Transportation,Administration,Construction,3335,2619,1719,1421,1266,Chicago,Alsip,Oak Lawn,Orland Park,Crestwood,2871,570,297,176,167,Chicago,Alsip,Oak Lawn,Blue Island,Tinley Park,3905,570,521,373,351,12499,13495,12884,18054.52555,379350551,281858512,254591358,135143380,302662315,830164,6715,0,693233932,0.141151046,0.354981802,0.503867152,0.385013144,0.614986856,0,4.455313329,4240.248966,823.5352368,0.194218604,149.2198148,0.035191286,4.78702129,0.001128948,276.1579607,0.06512777,263.4753995,0.062136776,1206.669087,0.284575056,930.4391907,0.219430321,0,0,324.0111045,0.076413226,261.9541505,0.061778012,2973,2155,1023,1645,4455,719,3341,729,0,26,703,2411,588,685,1138,1416,477,535,404,2967,2220,689,58,17130,1713,17864,3295,917,14569,2470,147,0,240,168,0,52,175,43,15122,1727,1982,411,483,5711,4408,4636,2774,2196,34.2,7536,4871,2665,220,7756,1996,4573,3427,910,1259,471,12636,47,54,26,32,21,22,Lake Michigan,7.26,6.49,-10.6,1.82,1.38,-23.9,5.44,5.1,-6.2,93.6,71.2,-24,30.12609151,5.436889615,N/A,46.48592216,3.392215941,N/A,54.30452418,-37.60741561,N/A,7.497024515,-7.560945258,N/A,Alsip,0.064,58482,2.4,0,0,0.279252627,0.846535598,0.516791853,0.02175519,0.330588544,93.6,421.79,1,0.567589577,0.423195876,0.180841736
1701595,Antioch,8788,14430,14622,5265,2.777018044,14231,566,3555,2194,3665,2588,964,514,185,40.1,11593,1045,208,611,774,14198,10918,7994,7509,485,2924,7424,887,6537,5769,482,106,153,27,235910,199,1260,2206,1435,9306,370,1892,2360,1126,2362,1196,658,601,480,704,1233,1424,103659,41671,5100,3817,1283,330,5430,3987,348,93,307,253,193,248,1,6.9,2217,2092,883,238,1996,361,1228,1569,1909,363,719,2429,626,43,236400,1255,99,534,385,229,8,997,4899,186,201,4757,4685,343,6483,Manufacturing,Retail Trade,Education,Health Care,Accommodation and Food Service,851,753,723,678,515,3624,Education,Retail Trade,Accommodation and Food Service,Manufacturing,Construction,859,568,564,363,213,Chicago,Antioch,Gurnee,Waukegan,Libertyville,578,577,275,265,179,Antioch,Lindenhurst,Chicago,Round Lake Beach,Waukegan,577,121,116,113,79,4547,4018,4105,25400.79428,423636315,327460248,307851419,53833451,10072315,560553,669138,0,372986876,0.722216017,0.277783983,0,0.671286808,0.328713192,0,13.12171867,5404.945452,1789.269487,0.331043024,42.09875105,0.007788932,3.291721881,0.00060902,282.2404626,0.052218929,193.3435376,0.035771598,113.8614117,0.021066154,756.7821679,0.140016615,597.6002496,0.110565454,938.3566006,0.173610744,688.1010625,0.127309529,959,1531,1120,1490,3961,417,1139,490,26,37,427,741,16,265,460,480,204,52,224,3361,2149,949,263,13285,946,13665,1244,252,12421,374,71,20,394,68,11,87,219,0,8098,388,91,102,109,2863,1731,2234,1209,751,33.7,3235,2157,1078,111,3346,565,1539,1546,283,982,453,5368,55,65,32,40,24,26,Shallow Groundwater,1.05,1.1,5,0.59,0.81,37.9,0.46,0.29,-37,54.6,56.1,2.8,22.03371055,39.14560523,N/A,22.35302789,39.3664566,N/A,1.449221808,0.564179225,N/A,0.240091251,0.09380959,N/A,Antioch,0.174,80881,16.4,0,0,0.503331184,0.856635492,0.694757857,0.501056362,0.251684423,54.6,489.81,1,0,0,0.219288793
1702154,Arlington Heights,76031,75101,77676,31782,2.420332264,75071,4628,13706,10171,15832,15998,7832,4267,2637,43.4,57897,6148,1744,7732,1550,74299,59813,39912,38437,1461,19901,37707,4225,33482,28469,1933,2288,595,197,991305,1750,11093,13126,4703,54400,2004,8635,8429,3735,18957,12640,3544,3484,4602,3660,6449,8933,100221,51340,30672,22699,7973,1795,32467,17682,1994,306,1146,2919,1315,7088,17,5.8,2413,15276,13201,1577,1972,6038,7732,10090,6912,1695,2616,5510,10393,4105,352000,7751,362,550,3395,2893,551,1441,28932,837,1740,28344,27763,2328,36158,Health Care,Professional,Education,Retail Trade,Manufacturing,4497,3700,3547,3349,3105,38228,Health Care,Retail Trade,Education,Professional,Construction,11102,3776,3680,3571,2377,Chicago,Arlington Heights,Schaumburg,Mount Prospect,Elk Grove Village,5742,4032,1765,1085,1025,Arlington Heights,Chicago,Palatine,Mount Prospect,Schaumburg,4032,3441,1817,1535,1259,52398,44007,39237,17039.26487,1214735895,908323436,2409134826,805015324,172043750,1574501,35364,0,3387803765,0.40640942,0.173582886,0.420007694,0.169595366,0.512914015,0.317490618,6.205737307,10643.6219,4539.259277,0.426476938,641.0455472,0.06022814,9.865170643,0.000926862,1180.301105,0.110892807,656.1774162,0.061649824,338.9910878,0.031849223,2387.560871,0.22431846,0.466114552,4.38E-05,760.441118,0.071445709,129.5141931,0.012168244,9214,10388,4243,6827,19988,1078,10684,2383,15,208,2160,4272,403,763,3106,4602,1201,1617,1784,18994,12668,4667,1659,60255,14816,70443,19649,6572,50794,3998,6388,674,512,275,458,2394,4400,550,66612,3393,706,4534,786,18832,13323,18470,13185,12221,39.7,30763,23608,7155,962,31725,3919,10475,11479,3051,16309,8792,54025,59,70,38,48,21,22,Lake Michigan,8.77,7.91,-9.8,5.63,5.16,-8.3,3.14,2.74,-12.6,74.3,67.9,-8.5,27.87121308,5.436889615,N/A,40.83222892,40.91598734,N/A,46.50323545,652.5624067,N/A,6.571530458,39.98787466,N/A,Arlington Heights,0.737,864717,10.1,0.319365423,0.313787831,0.649485294,0.847622676,0.6058461,0.196837736,0.163538018,74.3,356.4,1,0.405632672,0.448716663,0.239769804
1703012,Aurora,142990,197899,180542,60103,2.976057767,199326,13695,48013,39411,47000,31586,12294,5447,1880,34.4,69517,85136,20219,18357,6097,197566,150384,108540,101920,6530,41844,99738,6143,93595,74105,12308,4347,1279,1556,2732815,2824,18949,27778,15577,124012,25443,26679,22605,8285,25287,15713,8268,12705,11774,8822,12180,11379,74659,32537,65128,42396,22732,3395,68523,41138,10600,3009,2881,2770,3601,4417,107,5.7,13884,29953,13018,11668,1983,7522,19712,25360,13074,2855,11800,22125,7096,1276,194100,22346,1347,4959,8628,7035,377,1274,61495,6290,3633,58403,57134,6725,78535,Manufacturing,Health Care,Retail Trade,Administration,Professional,9276,9047,8910,7299,6593,61854,Health Care,Administration,Manufacturing,Education,Retail Trade,9193,7949,7370,6750,5579,Aurora,Chicago,Naperville,Batavia,St. Charles,13279,9258,6783,1916,1614,Aurora,Chicago,Naperville,Oswego,Joliet,13279,3804,2958,1762,1707,55331,52311,54961,21168.46208,2172201982,1708349000,3207488479,683966810,472507851,3062280,1409192,0,4368434612,0.24945318,0.39774083,0.35280599,0.384407578,0.35933657,0.256255851,7.652932474,29293.2515,9782.45026,0.333948939,558.3296176,0.019060008,25.36592971,0.000865931,1701.733945,0.058093037,2055.82976,0.070181003,2114.650078,0.072188984,6183.503044,0.211089679,1890.226763,0.064527721,3589.749098,0.122545259,1391.413004,0.047499439,13933,17054,11849,22292,47579,7538,17549,5265,144,333,4788,14853,2035,3085,9733,11745,3097,4999,3649,32315,22835,7741,1739,148317,51009,185631,84180,31226,101451,64547,1749,1439,1307,915,436,5270,7663,854,74457,46557,15389,4313,2274,49266,38361,31943,14480,8940,29.3,46489,32585,13904,2308,48797,20360,18326,14895,4979,17222,7769,83551,50,58,29,36,21,23,Fox River,18.04,18.17,0.7,14.04,14.27,1.6,4,3.9,-2.5,85.4,71.3,-16.5,33.6285358,6.503435667,N/A,41.80814799,9.097461436,N/A,24.32342649,39.88700593,N/A,3.695241776,5.753860273,N/A,N/A,N/A,N/A,N/A,0.269141867,0.224363481,0.397421217,0.833792385,0.673063568,0.266606553,0.216968858,85.4,324.17,1,0.365980214,0.311632383,0.241402474
1703610,Bannockburn,1429,1583,1013,303,2.597359736,1194,41,293,462,114,79,110,85,10,24.6,817,90,137,132,18,597,1067,587,558,29,480,547,85,462,322,11,16,110,3,10300,0,33,126,67,570,2,20,57,17,191,283,19,17,39,31,19,101,115833,54026,226,189,37,23,249,212,0,0,6,9,16,6,0,8.5,35,81,100,33,1969,17,23,37,98,74,4,3,29,111,983700,37,0,16,21,0,0,1030,226,2,0,224,201,2,590,Education,Professional,Health Care,Finance,Retail Trade,89,72,64,55,46,3246,Finance,Professional,Education,Wholesale Trade,Manufacturing,754,642,556,345,280,Chicago,Deerfield,Bannockburn,Highland Park,Glenview,148,36,30,25,18,Chicago,Deerfield,Buffalo Grove,Waukegan,Gurnee,403,88,78,78,63,,,,20621.625,136518994,86767312,79072465,80145024,935122,0,737200,0,160889811,1,0,0,1,0,0,8.178336242,1306.136451,669.9717493,0.512941622,0,0,0,0,182.0839526,0.139406532,123.4111972,0.094485685,26.34851269,0.020172864,136.283813,0.104341176,5.249091428,0.004018793,117.3794847,0.089867705,45.40865035,0.034765625,28,113,37,48,189,5,37,6,0,0,6,30,0,2,28,39,0,12,27,151,96,28,27,931,263,1153,252,50,901,71,28,6,0,0,47,18,56,26,1229,50,47,72,31,493,503,199,145,89,21.7,250,204,46,9,259,13,45,67,12,275,180,592,84,101,61,76,23,25,Lake Michigan,0.35,0.34,-0.6,0.11,0.13,17.4,0.23,0.21,-9.2,78.7,82.7,5.1,86.6811896,67.18850956,N/A,142.864649,72.45103183,N/A,64.81620719,7.832473595,N/A,8.684259975,1.264742169,N/A,Bannockburn,0.009,14897,3.2,0,0,0.861403509,0.645801527,0.215014349,0.215014349,1.205136773,78.7,1037.98,1,0,0,0.405850091
1703844,Barrington,10168,10327,10722,4102,2.556313993,10442,626,2325,1128,2246,2022,1016,649,430,40.8,8576,544,166,915,241,10222,7940,4940,4771,169,3000,4695,749,3946,3148,106,544,124,24,133715,287,1343,1794,564,7124,316,556,983,289,2902,2078,386,515,605,334,578,1570,112794,64507,3988,2931,1057,205,4193,2812,363,139,59,158,90,572,0,7.5,554,1579,1428,632,1970,448,962,751,1651,381,86,288,1279,1278,475600,1012,175,153,220,274,190,1408,3781,71,207,3706,3607,282,4205,Health Care,Professional,Manufacturing,Retail Trade,Education,471,453,408,398,386,6512,Education,Retail Trade,Health Care,Other Service,Administration,1410,1106,820,496,388,Chicago,Schaumburg,Barrington,Hoffman Estates,Palatine,651,254,226,168,148,Chicago,Barrington,Palatine,Carpentersville,Hoffman Estates,333,226,226,213,209,12141,10249,11025,19461.34305,626463329,569275964,469736798,191484187,11716340,1655100,0,0,674592425,0.608282913,0,0.391717087,0.346598521,0.653401479,0,12.17648201,3075.304068,1143.305228,0.371769816,71.58973817,0.023278914,2.256454623,0.000733734,276.6663922,0.089963914,238.5397373,0.077566228,90.51922429,0.029434236,616.043305,0.200319478,14.44457581,0.004696959,528.1367061,0.171734793,93.80270706,0.030501929,1024,1414,480,1070,2902,384,1086,251,0,87,164,606,62,100,444,605,80,353,172,2456,1602,530,324,9124,1318,9816,1539,671,8277,457,176,110,77,0,146,366,190,17,9570,237,63,203,95,3205,1257,2759,1660,1287,38.6,3767,2952,815,136,3903,364,880,1179,350,2269,1589,6631,68,82,46,57,23,24,Shallow Groundwater,1.85,1.45,-21.3,1.42,1.2,-15.2,0.42,0.25,-41.8,139.1,116.3,-16.4,24.02532906,37.05097197,N/A,31.08170205,46.37494226,N/A,29.37055712,25.16525152,N/A,4.385275411,3.811937374,N/A,N/A,N/A,N/A,N/A,0,0,0.739612577,0.834692365,0.92012881,0.405852295,0.270156906,No data,816.26,1,0.36770569,0.424287119,0.324387646
1703883,Barrington Hills,3915,4209,4114,1466,2.805593452,4156,242,857,257,701,1074,599,373,53,50.2,3597,93,11,435,20,4138,3319,1905,1860,45,1414,1741,172,1569,1218,76,190,70,15,65875,20,202,403,813,2937,57,217,280,194,1464,725,103,87,161,110,221,756,157414,88747,1438,1332,106,208,1646,1629,17,0,0,0,0,0,0,10,292,603,553,198,1974,3,35,334,762,512,13,81,159,759,759800,80,0,0,5,9,66,2732,1365,19,73,1392,1386,46,1576,Health Care,Professional,Manufacturing,Retail Trade,Wholesale Trade,173,171,149,147,136,453,Professional,Other Service,Construction,Administration,Arts and Entertainment,80,56,55,47,42,Chicago,Schaumburg,Hoffman Estates,Barrington,Elgin,233,123,71,49,47,Chicago,Carpentersville,Algonquin,Hoffman Estates,Crystal Lake,32,29,18,14,13,,,,25112.28397,3291575,3266656,401225624,2241554,444912,698300,9405271,0,414015661,0.995174078,0.004825922,0,1,0,0,4.028206519,17713.27744,9438.23125,0.532833705,18.23859489,0.001029657,0,0,6.309966967,0.000356228,186.5167381,0.01052977,16.38538566,0.000925034,809.3762482,0.045693195,1975.566209,0.111530247,4285.665963,0.241946527,976.9870824,0.055155636,142,619,283,394,1277,68,161,103,0,0,103,74,0,0,74,148,76,25,47,1087,520,241,326,3167,989,3914,1095,277,2819,74,477,120,0,13,0,71,320,20,3647,75,18,153,22,1059,353,921,1096,486,45.1,1381,1291,90,75,1456,119,258,421,152,1149,853,2952,71,85,47,58,24,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0.811372148,0.720472441,0.025498748,0.013879382,0.767234225,139.1,207.25,0,0,0,0.29178633
1704013,Bartlett,36706,41208,41105,14199,2.869497852,40894,2255,8152,6926,8176,9409,3884,1275,817,40.6,26677,5686,989,6838,704,40801,32574,22249,21578,660,10325,21440,2132,19308,16475,1109,1152,98,474,654510,449,2819,6639,3608,28038,1798,5887,5448,2115,9224,3566,976,1709,1722,1654,3523,3931,109980,41821,13515,11484,2031,390,13905,9754,2217,56,543,292,36,705,302,7.1,2551,10139,972,243,1992,651,2498,5404,4568,784,965,5550,4492,467,286200,1930,93,168,529,781,359,1702,12770,324,745,12544,12404,971,21539,Manufacturing,Health Care,Professional,Retail Trade,Wholesale Trade,2406,2356,2064,2003,1709,8074,Wholesale Trade,Manufacturing,Construction,Health Care,Other Service,1727,1121,670,644,583,Chicago,Schaumburg,Elgin,Bartlett,Elk Grove Village,2857,1533,1321,927,739,Bartlett,Elgin,Chicago,Streamwood,Hanover Park,927,792,515,313,265,,,,24554.39743,245184374,186893248,1099018623,66283192,26870050,14847,205936,0,1192392648,0.834158364,0.096370569,0.069471068,0.663979861,0.336020139,0,11.74337895,10244.08963,3511.079913,0.342742014,104.7396616,0.010224399,4.098180834,0.000400053,187.2124025,0.018275162,399.8747043,0.039034674,752.9817139,0.073504015,1675.584477,0.163565972,270.9176573,0.02644624,2834.481233,0.276694302,503.1196867,0.049113167,2277,4276,2482,4480,10867,743,2648,621,71,0,550,1861,243,311,1307,1722,375,472,875,9087,5518,2666,903,32697,8197,38639,11560,3468,27079,3473,1663,202,1050,2,65,413,4641,51,30673,2024,706,2854,449,12249,7372,10629,4399,2057,33.5,12179,11343,836,177,12356,1772,5133,5666,1685,6391,2467,23114,61,73,39,49,23,25,Sandstone Groundwater,3.56,3.26,-8.4,3.09,2.83,-8.3,0.47,0.43,-9.1,80.9,67.9,-16,40.03839974,12.74521387,N/A,61.56243745,20.69879912,N/A,53.7584865,62.40448642,N/A,7.433530849,8.417570336,N/A,N/A,0.443,703562,14.2,0,0,0.531599971,0.834890457,0.852487818,0.457602005,0.242215634,80.9,254.21,0,0.06688438,0.083571137,0.209468284
